event_id,mode,sm,warp,regext_time_ns,regext_pc,regext_op,prev_time_ns,prev_pc,prev_op,next_time_ns,next_pc,next_op
383,other,1,5,839453415,0x800001b4,REGEXT,839453405,0x8000018c,VADD,839470805,0x800002b8,VSW12
387,other,1,0,839453465,0x800001b4,REGEXT,839453455,0x8000018c,VADD,839473965,0x800002b0,VLW12
394,other,1,2,866288235,0x800001b4,REGEXT,866288215,0x800001a0,JOIN,866288265,0x800001a4,LW
391,other,1,3,866288195,0x800001b4,REGEXT,866288185,0x800001a0,JOIN,866288255,0x800001a4,LW
392,other,1,6,866288215,0x800001b4,REGEXT,866288195,0x800001a0,JOIN,866288245,0x800001a4,LW
395,other,1,7,866288235,0x800001b4,REGEXT,866288215,0x800001a0,JOIN,866288285,0x800001a4,LW
389,other,1,4,866288145,0x800001b4,REGEXT,866288125,0x800001a0,JOIN,866288185,0x800001a4,LW
393,other,1,5,866288215,0x800001b4,REGEXT,866288205,0x800001a0,JOIN,866288275,0x800001a4,LW
388,other,1,0,866288125,0x800001b4,REGEXT,866288105,0x800001a0,JOIN,866288165,0x800001a4,LW
390,other,1,1,866288155,0x800001b4,REGEXT,866288145,0x800001a0,JOIN,866288195,0x800001a4,LW
